name,id,address1,address2,state,city,postal_code
Boca Raton,806,1400 Glades Road,Ste 110,FL,Boca Raton,33486
Orlando,817,8003 Turkey Lake Road,,FL,Orlando,32836
Biscayne,805,21105 Biscayne Blvd,,FL,Aventura,33180
Coral Gables,811,6701 Red Road,,FL,Coral Gables,33146
Coral Springs,8004,810 University Drive,,FL,Coral Springs,33071
Carrollwood,822,3802 Northdale Blvd.,,FL,Tampa,33624
Ft. Lauderdale,807,2000 North Federal Highway,,FL,Fort Lauderdale,33305
Jacksonville,820,10601 San Jose Blvd.,,FL,Jacksonville,32257
Naples,818,9101 Strada Place,,FL,Naples,34108
Pinecrest,812,11701 S Dixie Hwy,,FL,Miami,33156
Pembroke Pines,821,14956 Pines Blvd,,FL,Pembroke Pines,33027
Palm Beach Gardens,810,11701 Lake Victoria Gardens Drive,,FL,Palm Bch Gardens,33410
Plantation,801,7720 Peters Road,,FL,Plantation,33324
Sarasota,809,1451 First Street,,FL,Sarasota,34236
South Beach,816,1020 Alton Rd,,FL,Miami Beach,33139
San Souci,823,12150 Biscayne Blvd,,FL,North Miami,33181
Tallahassee,824,1817 Thomasville Road,,FL,Tallahassee,32303
Tampa,815,1548 N Dale Mabry Hwy,,FL,Tampa,33607
Wellington,819,2635 State Road 7,,FL,Wellington,33467
Winter Park,808,1989 Aloma Avenue,,FL,Winter Park,32792
Georgetown,5015,2323 Wisconsin Avenue N.W,,DC,Washington,20008
Foggy Bottom,73,2201 Eye Street NW,,DC,Washington,20037
P Street,48,1440 P Street NW,,DC,Washington,20005
Tenley Town,24,4530 40th Street NW,,DC,Washington,20016
Lexington Green,60,161 Lexington Green Cir Ste A2,,KY,Lexington,40503
Louisville,54,4944 Shelbyville Rd,,KY,Louisville,40207
Annapolis,67,200 Harker Place Suite 100,,MD,Annapolis,21401
Bethesda,2,5269 River Road,,MD,Bethesda,20816
Chevy Chase,69,Wisconsin & Western,,MD,Chevy Chase,20815
Harbor East,49,1001 Fleet Street,Suite A,MD,Baltimore,21202
